time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,carts_mem,carts-db_mem,cartservice_mem,catalogue_mem,catalogue-db_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,front-end_mem,frontend_mem,frontend-check_mem,orders_mem,orders-db_mem,payment_mem,paymentservice_mem,productcatalogservice_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,recommendationservice_mem,redis_mem,session-db_mem,shipping_mem,shippingservice_mem,user_mem,user-db_mem,adservice_diskio,redis_diskio,adservice_socket,carts_socket,carts-db_socket,cartservice_socket,catalogue_socket,catalogue-db_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,front-end_socket,frontend_socket,frontend-check_socket,orders_socket,orders-db_socket,payment_socket,paymentservice_socket,productcatalogservice_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,recommendationservice_socket,redis_socket,session-db_socket,shipping_socket,shippingservice_socket,user_socket,user-db_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1732363278,1.3718217139039317,1.0436502871305087,0.15779713748735008,3.574912047212047,0.11380316497983348,4.050741629828944,0.12178289237668172,1.9134921089538504,0.8737831551592138,0.41705410961307887,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8318976,33992704,43909120,68448256,12849152,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42328064,4521984,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,5.867,9.733,0.2,26.2,0.267,4.933,4.6,0.267,52.133,7,2.267,0,0,0,0.0031692307692307692,0.0034929178470254956,0.03977272727272727,0.0030929663953862055,0.003,0.03674242424242424,0.007138442167916214,0.00039104571070757674,0.007383540372670808,0.0011034482758620694,0.004904615384615385,0.007471264367816092,0.08500000000000014,0.004772328524402214,0.0046,0.061951219512195135,0.009427688433583242,0.003897441601779755,0.009476708074534162,0.004220689655172414
1732363279,1.3718217139039317,1.0436502871305087,0.15779713748735008,3.574912047212047,0.11130053894533355,4.050741629828944,0.12178289237668172,1.9134921089538504,1.2976925092739224,0.4086112487329067,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8318976,33992704,43909120,68448256,12849152,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42348544,4521984,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,6.063,9.995,0.267,29.915,0.267,4.933,5.194,0.267,51.775,6.863,2.266,0,0,0,0.003143913630647372,0.0034858318352288405,0.04090881777896272,0.0030841541220658427,0.003,0.03685609416273911,0.0071306222723831955,0.00039267924604099893,0.00738387812047833,0.0010696383010655858,0.0048590445351652705,0.0074416746135440625,0.1450000000000001,0.004756517436555776,0.0046,0.06393000707261086,0.00942612445447664,0.003905506369881145,0.009476775624095666,0.004213927660213117
1732363280,1.3718217139039317,1.0436502871305087,0.15779713748735008,3.574912047212047,0.10879791291083357,4.050741629828944,0.12512797283417504,1.9134921089538504,1.2976925092739224,0.5084071563125465,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8318976,33992704,43909120,68448256,12849152,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42348544,4653056,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,6.063,9.995,0.267,29.915,0.267,4.933,5.194,0.267,51.775,6.863,2.266,0,0,0,0.003143913630647372,0.0034858318352288405,0.04090881777896272,0.003084102487078443,0.003,0.03685609416273911,0.007122759520240702,0.00039267924604099893,0.00738387812047833,0.0010696383010655858,0.0048590445351652705,0.0074416746135440625,0.1450000000000001,0.0047565108743269245,0.0046,0.06393000707261086,0.00942455190404814,0.003905506369881145,0.009476775624095666,0.004213927660213117
1732363281,1.4440687043266442,1.0436502871305087,0.15779713748735008,3.574912047212047,0.14421163569905587,4.050741629828944,0.12512797283417504,1.9134921089538504,1.2976925092739224,0.5084071563125465,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8318976,33992704,43913216,68448256,12849152,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42348544,4653056,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,6.396,9.995,0.267,33.648,0.267,4.933,5.194,0.267,54.241,6.996,2.266,0,0,0,0.003150351512733833,0.0034858318352288405,0.04090881777896272,0.0030716494947956212,0.003,0.03685609416273911,0.007114853558209891,0.00038886754428375114,0.00735934711437892,0.0010696383010655858,0.004870632722920899,0.0074416746135440625,0.1450000000000001,0.004743623618535568,0.0046,0.06393000707261086,0.009422970711641979,0.0038863037959399,0.009471869422875784,0.004213927660213117
1732363282,1.4440687043266442,1.0436502871305087,0.13362448050744485,3.574912047212047,0.14642872063968035,4.050741629828944,0.12512797283417504,1.9183189184998883,1.2976925092739224,0.5084071563125465,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8355840,33992704,43913216,68448256,12849152,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42348544,4653056,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,6.396,9.995,0.267,33.648,0.267,4.933,5.194,0.267,54.241,6.996,2.266,0,0,0,0.003150351512733833,0.0034858318352288405,0.04090881777896272,0.0030715476211683424,0.003,0.03685609416273911,0.007106904029118322,0.00038886754428375114,0.00735934711437892,0.0010696383010655858,0.004870632722920899,0.0074416746135440625,0.1450000000000001,0.004743610074321559,0.0046,0.06393000707261086,0.009421380805823665,0.0038863037959399,0.009471869422875784,0.004213927660213117
1732363283,1.4440687043266442,1.0436502871305087,0.13362448050744485,3.574912047212047,0.14642872063968035,4.050741629828944,0.12512797283417504,1.9183189184998883,1.2976925092739224,0.5084071563125465,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8355840,33992704,43913216,68448256,12849152,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42348544,4653056,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,6.396,9.995,0.267,33.648,0.267,4.933,5.194,0.267,54.241,6.996,2.266,0,0,0,0.003150351512733833,0.0034858318352288405,0.04090881777896272,0.0030714457367766474,0.003,0.03685609416273911,0.00709891057184617,0.00038886754428375114,0.00735934711437892,0.0010696383010655858,0.004870632722920899,0.0074416746135440625,0.1450000000000001,0.0047435965286764074,0.0046,0.06393000707261086,0.009419782114369234,0.0038863037959399,0.009471869422875784,0.004213927660213117
1732363284,1.4440687043266442,1.0436502871305087,0.13362448050744485,3.574912047212047,0.14642872063968035,4.079818687398089,0.12512797283417504,1.8961246865092516,1.2976925092739224,0.5084071563125465,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8355840,33992704,43913216,68448256,12849152,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42348544,4653056,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,6.396,9.995,0.267,33.648,0.267,4.933,5.194,0.267,54.241,6.996,2.266,0,0,0,0.003150351512733833,0.0034858318352288405,0.04090881777896272,0.003071343841618829,0.003,0.03685609416273911,0.007090872821271537,0.00038886754428375114,0.00735934711437892,0.0010696383010655858,0.004870632722920899,0.0074416746135440625,0.1450000000000001,0.004743582981599888,0.0046,0.06393000707261086,0.009418174564254308,0.0038863037959399,0.009471869422875784,0.004213927660213117
1732363285,1.4440687043266442,1.0436502871305087,0.13362448050744485,3.574912047212047,0.14642872063968035,4.079818687398089,0.12512797283417504,1.8961246865092516,1.2976925092739224,0.5084071563125465,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8355840,33992704,43913216,68448256,12849152,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42348544,4653056,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,6.396,9.995,0.267,33.648,0.267,4.933,5.194,0.2,54.241,6.996,2.266,0,0,0,0.003150351512733833,0.0034858318352288405,0.04090881777896272,0.0030713122519335774,0.003,0.03685609416273911,0.007173364102593837,0.00038886754428375114,0.00735934711437892,0.0010696383010655858,0.004870632722920899,0.0074416746135440625,0.1450000000000001,0.004743578781715492,0.0046,0.06393000707261086,0.009434672820518769,0.0038863037959399,0.009471869422875784,0.004213927660213117
1732363286,1.4440687043266442,1.0436502871305087,0.13362448050744485,3.574912047212047,0.14642872063968035,4.02360033110565,0.12512797283417504,1.8961246865092516,1.2976925092739224,0.5084071563125465,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8355840,33992704,43913216,68448256,13615104,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42348544,4653056,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,6.396,9.995,0.267,33.448,0.267,4.933,5.194,0.2,54.041,6.996,2.266,0,0,0,0.003150351512733833,0.0034885926876711197,0.041249763933479226,0.003071482209019247,0.003,0.03685609416273911,0.007133146244580849,0.00038855886956911084,0.00735934711437892,0.000499927906023381,0.004870632722920899,0.007453305431633647,0.15250141639912457,0.004743920970198435,0.004600000000000001,0.06393000707261086,0.009426629248916171,0.003884710309004951,0.009471869422875784,0.00419988461636355
1732363287,1.4440687043266442,1.0517368880434184,0.13362448050744485,3.574912047212047,0.14642872063968035,4.02360033110565,0.12512797283417504,1.8961246865092516,1.2976925092739224,0.5084071563125465,0.07398793993803131,86765568,336535552,115630080,40173568,10792960,407928832,8355840,33992704,43913216,68448256,13615104,2744320,332267520,82141184,8613888,23625728,9351168,294318080,95039488,4632576,42348544,4653056,4481024,303009792,5967872,15876096,75624448,,0,3,7,6,4,7,4,9,4,3,5,13,0,6,5,4,3,4,3,11,1,4,4,3,3,2,19,10,6.396,9.995,0.267,33.448,0.267,4.933,5.194,0.2,54.041,6.996,2.266,0,0,0,0.003150351512733833,0.0034885926876711197,0.041249763933479226,0.003071482209019247,0.003,0.03685609416273911,0.007123985006375166,0.00038855886956911084,0.00735934711437892,0.000499927906023381,0.004870632722920899,0.007453305431633647,0.15250141639912457,0.004743920970198435,0.004600000000000001,0.06393000707261086,0.009424797001275033,0.003884710309004951,0.009471869422875784,0.00419988461636355
