time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1732279111,1.986847053658935,0.9072044140296828,0.10541563970835181,1.83284479091986,0.24350850310199257,3.229802415596795,0.05617123854694632,1.2752723901469771,1.1923768593519897,0.45683595562776125,0.09175404355311483,85356544,59273216,10354688,41709568,44097536,15728640,28884992,9912320,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,7.467,10.733,0.133,35.067,0.2,5.867,5.667,0.133,61.467,8.2,2.2,0,0,0,0.003989732172827544,0.0032660136446223554,0.038750111120988535,0.002985336147070556,0.003,0.037755960939428956,0.0032,0.0011301402656903774,0.004977048424495602,0.0016480498407420016,0.008489625650802964,0.005740794334367158,0.04975020001777936,0.004693330227056489,0.0046,0.07792922911691187,0.004960000000000001,0.004245006532507773,0.009017830036344893,0.0043296099681484
1732279112,1.7548249557130209,0.9072044140296828,0.10167558967040201,1.7901360692393322,0.24350850310199257,3.229802415596795,0.05507376178491764,1.2459909548561028,1.202306581293566,0.5348845221517352,0.09175404355311483,85356544,59273216,10354688,41709568,44097536,15728640,28884992,9912320,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,7.467,10.733,0.133,35.067,0.2,5.867,5.667,0.133,61.467,8.2,2.2,0,0,0,0.003989732172827544,0.0032660136446223554,0.038750111120988535,0.002985336147070556,0.003,0.037755960939428956,0.0032,0.0011301402656903774,0.004977048424495602,0.0016480498407420016,0.008489625650802964,0.005740794334367158,0.04975020001777936,0.004693330227056489,0.0046,0.07792922911691187,0.004960000000000001,0.004245006532507773,0.009017830036344893,0.0043296099681484
1732279113,1.7548249557130209,0.9072044140296828,0.10167558967040201,1.747427347558804,0.24350850310199257,3.229802415596795,0.05397628502288895,1.2167095195652287,1.202306581293566,0.5348845221517352,0.09175404355311483,85356544,59273216,10354688,41709568,44097536,15728640,28884992,9912320,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,7.467,10.733,0.133,35.333,0.133,5.867,5.667,0.133,61.467,8.2,2.2,0,0,0,0.003989732172827544,0.0032660136446223554,0.038750111120988535,0.002988804443560177,0.003,0.037755960939428956,0.0032,0.0011301402656903774,0.004977048424495602,0.0016480498407420016,0.008489625650802964,0.005740794334367158,0.04975020001777936,0.004689642541520797,0.0046,0.07792922911691187,0.004960000000000001,0.004245006532507773,0.009017830036344893,0.0043296099681484
1732279114,1.7548249557130209,0.7786453431425028,0.10167558967040201,1.704718625878276,0.24350850310199257,3.229802415596795,0.05215348893664297,1.8752041526912762,1.202306581293566,0.5348845221517352,0.09175404355311483,85356544,59273216,10354688,41709568,44097536,15728640,28884992,10039296,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,7.467,10.733,0.133,35.333,0.133,5.867,5.667,0.133,61.467,8.2,2.2,0,0,0,0.003989732172827544,0.0032660136446223554,0.038750111120988535,0.002988804443560177,0.003,0.037755960939428956,0.0032,0.0011301402656903774,0.004977048424495602,0.0016480498407420016,0.008489625650802964,0.005740794334367158,0.04975020001777936,0.004689642541520797,0.0046,0.07792922911691187,0.004960000000000001,0.004245006532507773,0.009017830036344893,0.0043296099681484
1732279115,1.7548249557130209,0.7944266687117033,0.10167558967040201,1.6620099041977476,0.24350850310199257,3.282002917525257,0.04692821336380961,1.8752041526912762,1.202306581293566,0.5348845221517352,0.09175404355311483,85356544,59273216,10354688,41709568,44097536,15728640,28999680,10039296,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,7.467,10.733,0.133,35.333,0.133,5.867,5.667,0.133,61.467,8.2,2.2,0,0,0,0.003989732172827544,0.0032660136446223554,0.038750111120988535,0.002988804443560177,0.003,0.037755960939428956,0.0032,0.0011301402656903774,0.004977048424495602,0.0016480498407420016,0.008489625650802964,0.005740794334367158,0.04975020001777936,0.004689642541520797,0.0046,0.07792922911691187,0.004960000000000001,0.004245006532507773,0.009017830036344893,0.0043296099681484
1732279116,1.7548249557130209,0.810207994280904,0.10167558967040201,1.6193011825172199,0.24350850310199257,3.282002917525257,0.04692821336380961,1.8752041526912762,1.202306581293566,0.5348845221517352,0.09175404355311483,85356544,59273216,10354688,41709568,44097536,15728640,28999680,10039296,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,7.467,10.733,0.133,35.333,0.133,5.867,5.667,0.133,61.467,8.2,2.2,0,0,0,0.003989732172827544,0.0032660136446223554,0.038750111120988535,0.002988804443560177,0.003,0.037755960939428956,0.0032,0.0011301402656903774,0.004977048424495602,0.0016480498407420016,0.008489625650802964,0.005740794334367158,0.04975020001777936,0.004689642541520797,0.0046,0.07792922911691187,0.004960000000000001,0.004245006532507773,0.009017830036344893,0.0043296099681484
1732279117,1.7548249557130209,0.9468795341520378,0.10167558967040201,1.576592460836692,0.23522765631228942,3.282002917525257,0.04692821336380961,1.9284973105068666,1.1714953797316379,0.5348845221517352,0.09175404355311483,85356544,59273216,10354688,41709568,44097536,15728640,28999680,10039296,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,7.467,10.333,0.133,35.333,0.133,5.867,5.667,0.133,61.467,8.2,2.533,0,0,0,0.003989732172827544,0.0032705347453263417,0.038750111120988535,0.002988804443560177,0.003,0.037755960939428956,0.0032,0.0011301402656903774,0.004977048424495602,0.0016088677261764887,0.008489625650802964,0.005803617123953091,0.04975020001777936,0.004689642541520797,0.0046,0.07792922911691187,0.004960000000000001,0.004245006532507773,0.009017830036344893,0.004321773545235297
1732279118,1.4705433128875114,0.9468795341520378,0.10167558967040201,1.5338837391561637,0.23522765631228942,3.282002917525257,0.04692821336380961,1.9284973105068666,1.1714953797316379,0.5348845221517352,0.08773946982604933,85356544,59273216,10354688,41709568,44097536,15728640,28999680,10039296,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,6.933,10.333,0.133,35.333,0.133,5.467,5.667,0.133,61.467,8.2,2.533,0,0,0,0.003994999689988074,0.0032705347453263417,0.038750111120988535,0.002988804443560177,0.003,0.037709704940919575,0.0032,0.0011301402656903774,0.004977048424495602,0.0016088677261764887,0.00849497456123631,0.005803617123953091,0.04975020001777936,0.004689642541520797,0.0046,0.07810661847206543,0.004960000000000001,0.004245006532507773,0.009017830036344893,0.004321773545235297
1732279119,1.4412962302922943,0.9468795341520378,0.10167558967040201,2.6174144171520046,0.23522765631228942,3.282002917525257,0.04692821336380961,1.9284973105068666,1.1714953797316379,0.5348845221517352,0.08773946982604933,85356544,59273216,10354688,41787392,44097536,15728640,28999680,10039296,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,6.267,10.2,0.133,36.867,0.133,5.467,5.4,0.133,58.6,7.933,2.933,0,0,0,0.0038019323671497586,0.0032705314009661836,0.0375,0.002986657771847899,0.003,0.03784013605442177,0.0032,0.0011612167300380223,0.004895348837209303,0.0016849315068493155,0.008253012048192773,0.005803571428571426,0.0475,0.004680587058038693,0.0046,0.07887850467289718,0.004960000000000001,0.004239543726235741,0.00897239263803681,0.004336986301369864
1732279120,1.6778065426041406,0.9468795341520378,0.09483956107821033,2.7096637383482443,0.23522765631228942,2.3026710751998145,0.04692821336380961,1.9284973105068666,1.1714953797316379,0.4587437104234358,0.08773946982604933,85884928,59273216,10354688,41787392,44097536,15728640,28999680,10039296,43995136,3469312,7196672,0,3,5,9,3,3,15,3,4,4,4,2,6.267,10.2,0.133,36.867,0.133,5.467,5.4,0.133,58.6,7.933,2.933,0,0,0,0.0038019323671497586,0.0032705314009661836,0.0375,0.002986657771847899,0.003,0.03784013605442177,0.0032,0.0011612167300380223,0.004895348837209303,0.0016849315068493155,0.008253012048192773,0.005803571428571426,0.0475,0.004680587058038693,0.0046,0.07887850467289718,0.004960000000000001,0.004239543726235741,0.00897239263803681,0.004336986301369864
